@relation _home_developer_dataset_rev_freshrevs_test

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'The room looks at first very impressively designed, but once you start actually using it, you notice the functional flaws: The desk chair is rather uncomfortable, and mine tended to lose height adjustment over time. Wireless LAN is very slow (despite being pretty expensive on top of the already expensive room price). There are lots of light switches around the bed, which operate weird combinations of lights, but I couldn\'t find one that would actually only operate the bedside lamps. Beyond the functionality, also the execution of the building work is surprisingly shoddy and in strong contrast with the high-class design impression they try to convey, e.g. careless paint jobs and fixtures (e.g. mirror, sink) that are not properly aligned. The reception staff is unfriendly and doesn\'t exchange information very well. If you reach agreement with one of their front desk people that\'s not enough to settle an issue. Housekeeping is better in remembering special wishes.Overall, the hotel is OK and tolerable for a few days, but definitely not up to the expectations raised by prices and design. I have had much better experiences at other hotels in Bangalore.',neg
'I have been to hotels world wide and have never been so embarrassed.We were in pune for a wedding and hence were dressed in formal Indian outfits.We had friends from US and UK who were also dressed in formal Indian clothes.We were denied entry to their disco/pub called scream only on the basis of our attire, while we saw students entering the same place in flip-flops.where in the world our people denied entry just because they are wearing their national clothes.I will never evr step into the hotel and so are my 15 friends who were there that night. I hate this hotel staff completely. they discriminate a lot.',neg
'At the first glance, this hotel looks very nice. However, as soon as one looks at all the details which make a hotel stay a real luxury experience, the stay at Suryagarh turns out to be a nightmare.The quality of food was very poor (our only food poisoning during our 3 weeks holiday in Rajasthan).The rooms are not soundproof at all - you can hear everything your neighbour is doing or saying. The quality of materials used for decoration is poor - everything looks like a decor in a bad Bollywood movie.There were construction works ongoing just in front of our window, causing a lot of dust and noise.The hotel is far away from the city center, and is located in the middle of nowhere.',neg
'To say this is a 5 star Hotel should not only depend on the hotel and facilities but should also focus on service, to which there is none. If you are considering traveling to this hotel you should make sure that you do not stay over the holiday periods as they also use the hotel as a wedding venue for very large weddings and therefore any holiday guests that are staying are in the minority. During our 8 day stay the hotel was taken over by 3-400 wedding guests for six different weddings. On each occasion parts of the hotel are shut off to holiday guests such as one of the pools and one or two of the restaurant\'s depending on what time of the day it is.  We had to move rooms on four occasions depending on what part of the Hotel had been hired out for the wedding as this changed from the bar to the main pool then to the lawn area or maybe all three areas at different times of the day. I have been travelling to many different countries over the years and I have never experienced such a terrible mistreatment of hotel guests I think I can speak on behalf of the very few guests that were staying there at the same time as us by saying we all felt that we were treated like 2nd class citizens and that the wedding guests were the most important people to the Hotel. Do not spend your hard earned money staying here find somewhere that is actually a 5 star as this resort is not!  Room Tip: Choose the diwa wingSee more room tips',neg
'We stayed here during the good friday long weekend and the resort was packed. Seems to have become extremely popular and talked about in the past year or do. I really don\'t know why?The goods things first: The property is well laid out, not too big not to small. Its got a shuttle access to the beach which is convenient. Its close to the airport, about 20 mins. We had a really good time with the kids. The kiddy pool is nice and so is the children\'s center. The activities organised for the kids on Easter Sunday was fun. The staff at the childrens center was helpful. The pool looked nice and comfortable lazy benches in the pool to lie inside. Now for the real deal: Honestly for a 5 star property with a 5 star price its nowhere close. The rooms though spacious are not squeeky clean. We had a garden room the flooring tiles seemed to have some portion chipped off and the table in the room was not fully polished. The big bathtub in the bathroom (with the sliding door) seemed more like a hindrance rather than a comfort. The pool corners had dirt and goo accumulated. Saw that when my sister pointed it out, not a very pleasant sight. The worst part was the service and food. We had taken an all meals including package and maybe that was a big mistake as the food spread though large was poor in taste. Only saving grace was the dosa during breakfast which was exceptionally good. The service was appalling at the dining area. Seems like no one cares, everyone is running around like chickens with their heads cut off. When asked to do anything it takes forever and umpteen reminders. Really poor. Also the room service ordered for kids food takes forever to deliver and when asked to make it less spicy, it doesnt\' happen that way. I cant understand how can they mess it up. The staff at the reception also painfully slow. Despite informing them well in advance they couldn\'t organise an airport drop off in time at 3 pm. It took forever to get a few cars in place. I find it hard to believe how difficult can that be. Our family was big with many children and we had fun, but I would not recommend this place to anyone with 5 star expectation. I have stayed at the Taj Village in Goa (see my other review) and believe me this is nowhere close. Service in a 5 star is top notch and sorry to say but Alila Diwa Goa has a long way to go. Glad that i will never be back here again.',neg
'Petty penny pinching.I don\'t expect to pay Westin rates and get 1 ply toilet paper.Mumbai Westin and Pune Westin were in a much higher class - not sure what went wrong with this one.',neg
'When we went through the reviews it seemed to be the best choice to be made in and around the Hijewadi area. But once we reached the hotel the disaster started. Firstly, inspite of booking the property online, I was greeted by a staff with a feedback that I have booking in a different property. When I showed him my voucher he made some calls and then after 10 minutes confirmed that we are in the right place. There was a specific request put in by me while booking for an early check in which obviously did not happen and we waited for about 20 minutes to get into the room. The rooms are quite big and spacious with good furniture. But the surprising part was that it was awfully mainatined. The bed rest had spunges coming out of it. The tap did not have a free water flow. The curtains were dirty. The railing of the verandah were filthy with a lot of dirt. The bathroom though big had very small enclosures for bath and toilet. The good part was that the room had 2 televsions. There was a leakage in the bathroom also where the water was dropping from the ceiling. The most awful part was the breakfast spread which was one of the worst I had till date. Overall a bad experience. You have better hotels around.Room Tip: Dont know since the rooms seemed to be of the same pattern. You have lot of better options around...See more room tips',neg
'I work with an MNC and for business purpose I keep travelling to Mumbai. I stayed at Royal Orchid, Mumbai just once only.I liked the services &amp hospitality of this hotel and overall my satisfaction level with this hotel is above average but only pain is that it is very far from Mumbai Airport and it takes a lot of time in cummuting.Would definitely recommend this hotel to if the approach to it is not a concern.',neg
'I really liked this hotel and was ready to suggest my colleagues stay there when they visit Delhi/Gurgaon. It is very nicely designed/decorated and the service was excellent in every way. But, as I was relaxing in my room waiting to head to the airport and come back to the states, I noticed a very large mouse was running around my room. I was totally surprised to see such rodent in what seemed a pristine room. I immediately grabbed my things and checked out a bit early. I reported it to the staff, but they did not seem too concerned about it...',neg
'i am not sure about the loding facility/services in Pune hyatt. But recently i went there for dinner (buffet) with my friends. I must tell you its the worst kind of food and service i had ever had at any star property. The menu itself was not good taste was below average ,staff were inresponsive. Indian food variaty wanst enough. I will never ever suggest anyone for the restaurant. I give 1.5/10 to my whole experince . there are many thing hyatt needs to work on .I wish them luck.',neg
