@relation _home_developer_dataset_rev_freshrevs_train

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'I arrived for a 3-day business stay. Altough the public areas are extremely grand and have been lovingly restored the same can\'t be said for the bedrooms. I was initially given a room on the 5th floor. This floor doesn\'t appear to have been given any updates as it was sparse and reminded me of a hotel room in the 80\'s.When I complained I was told that i\'d only booked a single room. I wasthen given a room on the 3rd floor which wasmore like a cleaners cupboard whichhadbeen converted. It may have been more modern but the facilities werevery poor.There was no room to move around. theinternet didn\'t work, the iron leaked and the towel rail didn\'t work.Having a bed next to the wall also meant regular disruption after hitting my head. When I complained i was told the hotel was full.I left after 1 night and booked into another hotel.A hotel I might addthat doesn\'t discriminate lone travellers and especially not those spending more than1 night in the hotel.',neg
'We booked this hotel without reading any reviews, it was too late to change our minds by the time we did. On arriving we tried to park our average sized family car in the hotel\'s carpark which was next to impossible, take our advice get there early the car park has limited spaces and be prepared for the fact it costs £10 a day to park. When we got to reception we were greeted by a warm friendly and helpful receptionist, we were given a room on the fifth floor, in a hotel of this size we would expect more than just the one lift, we opened our room door and were puzzled as to why it didn\'t resemble the photo on the hotel\'s website, afterall this is a four star hotel, AA rating no less, The room was in a sorry state,dirty peeling wallpaper, filthy dirty net curtians, rotton window frames, with most of the paint peeling off, the bed was saggy and dilapidated, but clean enough, TV with no remote control and no mini fridge, seems picky but remember this is a supposed four star hotel. The bathroom was large but again did little to resemble the websites description, no two sinks in this room just a badly chipped bath complete with off white shower mat. We awoke the next morning and went down to breakfast, the receptionist at the resturant was again warm friendly and very helpful, the resturant was everything that the room wasn\'t, spotlessly clean, excellent food and helpful attentitive staff, overall the rooms let this charming hotel down, would we stay here again, I have to be honest and say no. Liked &#x2014 The staffDisliked &#x2014 The hotel room it\'s self',neg
'The hotel promised so much but delivered little. The hotel itself is not in the best of locations, it looks like an idyllic location, but in reality it is situated in a noisy dirty tourist town. The constant noise from the street competes with the hotel piping music constantly (we wish you a merry Christmas from 08:00  19:00) Added to that the local communist loudspeaker announcements and the local church with ear-splitting carols. If you add in the smell of sewage, a closed bar and local dogs barking through the night it was not a pleasant stay. We left two days early. It is a shame because the staff were helpful, probably the only saving grace.',neg
'Me and my partner stayed here 1 night in November. I had been offered a cheap deal by one of the staff I knew so we thought it would be a good base for a night out in Leeds.Apparently we had one of the nicer rooms(!), but it still smelt of stale smoke and was extremely small. Although the room was small the bathroom was huge but with no shelves or surfaces to put anything on and actually nothing in there but the sink, bath and toilet. It just seemed like a complete waste of space. The tiles in the bathroom were mouldy, even though the decor was modern, the sheets had burn holes in them and instead of air conditioning there was a large fan (taking up more of the valuble space).The window barely opened but even if it had more we were dubious about making the room cold as the tiny radiator didn\'t produce much heat so instead we had to put up with the smell of stale smoke.Our television remote didn\'t work so I had to take it to Reception and exchange it and just i general this place just felt like a 1/2* hotel masquerading as 4* .I would not stay here again, ever. Good location and I agree that the night porter is very helpful, but other than that I have nothing good to say about this place. Better to stay at Park Plaza.Liked &#x2014 nothingDisliked &#x2014 the smelly, tiny roomTips/Secrets &#x2014 don\'t go here',neg
'This has to be one if not the worst hotel I have ever stayed in the smell was sickening the windows do not open the place needs a complete make over Don\'t hire there cars there are so many hidden chargesFood was cold better food on the streets',neg
'Not maintained properly. Bathrooms not good and not cleaned well. Flies all around including the dinning room.Kausani is a waste trip with Himalayas visibility if clear due to rains only.Not at all recommended hotel or place',neg
'Never stayed with gateway before and this is the first time. Had stayed with other Taj properties but this hotel is avoidable in Cochin. On the first day, the juice for breakfast was spoilt and on the second day, the yogurt was spoilt. The fitness and Ayurveda center on the top floor is small and dingy. Use of the gym could be dangerous as it is too small for its purpose. Not sure if the rooms are sound proof too, while sleeping during the day - I could hear the phone rigning in the next room. The only saving grace are the hotel staffs - they are excellent.',neg
'The Park lacks the class and elegance that other hotels/resorts in its class possess. The property is decently maintained and its location is definitely a plus. However the private beach is dirty and we were unable to stay on the beach longer than fifteen minutes.The hotel is being renovated and we were allotted an \'ocean facing\' room where we had a view of an upcoming construction and practically no ocean. We had a toddler with us and we tried bathing her in the evening and there was no hot water. We heated water in the tea coffee kettle and managed.The worst part however was the music from the pub. We were given a room on the second floor and apparently weekends are \'pub nights. \' it was clear that there was no sound proofing done and there was a loud insistent Techno bass echo that went on for five hours. We were tired and thankfully our toddler fell asleep I was awake in bed until 2 am waiting for the music to stop. I called the reception enquiring about the noise and I was told that I had to endure it for another hour and that there was nothing they could do. My husband reached his breaking point and after wandering the hotel grounds for 30 minutes, demanded a separate room on a higher floor. Needless to say, he was very upset and the staff was quick to see this and allotted him a room on the 4th floor free of cost. The staff are nice enough, but appear inexperienced and lack the warmth and demeanor required if you\'re in the hospitality industry.I understand the novotel hotel will open on varun beach this December. I\'d put my money there instead.',neg
'We booked for this hotel with last minute.com on the \'secret rooms\' part getting a Sat night for £50 instead of £76. I was dumb struck when I opened the door to the room ! It was approx 12ft c 12ft with a 3 quarter bed pushed into the corner! This was meant to be a double standard room. We complained and refused to stay in that room.as they were full ( apparently ) the found us another room in the beautiful Hilton hotel diwn the road ! I would NEVER book for the hotel again Not only that another couple were also complaining for same issue however they paid £150 for one night B&ampB and evening meal. They were given another room in the end. Positive side the manager did all he could to find us other accommodation. We also got taxi journeys on account. Free parking at the Met plus complimentary drinks while they were working things out',neg
'Mould on the windows. Mould in the shower. Unbelievably warm (without air conditioning).NOT a 4* hotel - not even 2*.',neg
